rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2002;2002-03;Commune;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;110.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;21042.0;oui;950;oui;1578.0;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2007;2007-08;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;356.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2001;2001-02;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;414.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2001;2001-02;Commune;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;624.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2001;2001-02;Commune;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;540.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2001;2001-02;Commune;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;1894.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;657.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;438.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;654.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;271.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2001;2001-02;Unité urbaine;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;508.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;458.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;414.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;753.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;1385.0;non;;oui;1385.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;601.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;688.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;27761.0;oui;584;oui;818.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;3792.0;non;;oui;54.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;UNIV;Universités;PU;Établissements publics;2;Feminin;23274.0;oui;584;oui;32.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2001;2001-02;Unité urbaine;Rennes;UNIV;Universités;PU;Établissements publics;1;Masculin;16776.0;oui;926;oui;229.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2002;2002-03;Unité urbaine;Rennes;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;2;Feminin;57.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2002;2002-03;Unité urbaine;Rennes;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;57.0;non;;oui;57.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2002;2002-03;Unité urbaine;Rennes;UNIV;Universités;PU;Établissements publics;2;Feminin;24094.0;oui;552;oui;34.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2003;2003-04;Académie;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;157.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;545.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;783.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;171.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;525.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;1498.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;667.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;1;Masculin;165.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;363.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;3618.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2003;2003-04;Académie;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;50126.0;oui;2362;oui;1411.0;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2004;2004-05;Académie;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;152.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2004;2004-05;Académie;Rennes;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;874.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2004;2004-05;Académie;Rennes;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;63.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2004;2004-05;Académie;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;3548.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2005;2005-06;Commune;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;81.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2005;2005-06;Commune;Rennes;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;533.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
